Employee Name,Email,Subject,Category,Priority,Status,Date Received,Response Due,Message
Sarah Johnson,sarah.j@company.com,Health Insurance Enrollment Question,Benefits,High,Pending,2/18/26 9:15,2/21/26 17:00,I'm trying to enroll in the PPO plan but the portal shows an error. Can someone help me complete my enrollment before the deadline?
Michael Chen,michael.c@company.com,FSA Contribution Limit,Benefits,Medium,Pending,2/19/26 14:30,2/22/26 17:00,What is the maximum FSA contribution for 2026? I want to increase my contribution but want to make sure I don't exceed the limit.
Jennifer Davis,jennifer.d@company.com,Dental Coverage for Dependents,Benefits,Low,Resolved,2/15/26 11:20,2/19/26 17:00,Does our dental plan cover orthodontics for children? My daughter needs braces.
Robert Martinez,robert.m@company.com,Vision Insurance Question,Benefits,Medium,Pending,2/17/26 16:45,2/20/26 17:00,I need new glasses. Does the vision plan cover progressive lenses or just basic frames?
Lisa Anderson,lisa.a@company.com,401k Match Clarification,Benefits,High,Pending,2/20/26 8:00,2/21/26 17:00,I recently increased my 401k contribution to 8%. Can you confirm the company match percentage and when it's deposited?
David Thompson,david.t@company.com,Life Insurance Beneficiary Update,Benefits,Low,Resolved,2/12/26 13:10,2/16/26 17:00,I got married last month and need to update my life insurance beneficiary. What's the process?
Amanda Wilson,amanda.w@company.com,HSA Rollover Question,Benefits,Medium,Pending,2/19/26 10:05,2/23/26 17:00,I have funds left in my HSA from last year. Do they roll over or do I need to use them by a certain date?
James Brown,james.b@company.com,Disability Insurance Coverage,Benefits,Medium,Resolved,2/14/26 15:30,2/18/26 17:00,What percentage of salary does our short-term disability insurance cover? I'm planning surgery next month.
Emily Garcia,emily.g@company.com,Dependent Care FSA,Benefits,High,Pending,2/18/26 12:00,2/21/26 17:00,How do I set up a dependent care FSA for my childcare expenses? The enrollment period is ending soon.
Christopher Lee,chris.l@company.com,COBRA Benefits After Resignation,Benefits,Low,Pending,2/16/26 9:45,2/24/26 17:00,I'm planning to resign next month. Can you explain how COBRA continuation works and what it costs?
Maria Rodriguez,maria.r@company.com,PTO Request for Next Week,Leave,High,Pending,2/19/26 13:20,2/20/26 17:00,I need to request 3 days of PTO for next week (Feb 24-26). My manager approved verbally but I need to submit it officially.
Kevin White,kevin.w@company.com,Sick Leave Policy Question,Leave,Medium,Pending,2/18/26 11:30,2/22/26 17:00,Do I need a doctor's note if I'm out sick for 2 consecutive days? I have the flu and won't be in tomorrow.
Rachel Kim,rachel.k@company.com,Maternity Leave Duration,Leave,High,Pending,2/17/26 14:15,2/20/26 17:00,I'm expecting in May. What is the maternity leave policy and how much is paid vs unpaid?
Daniel Harris,daniel.h@company.com,Bereavement Leave,Leave,High,Resolved,2/16/26 8:00,2/17/26 17:00,My grandmother passed away yesterday. I need to travel for the funeral. What is our bereavement leave policy?
Jessica Clark,jessica.c@company.com,PTO Carryover Question,Leave,Low,Pending,2/15/26 16:40,2/23/26 17:00,I have 8 PTO days remaining. Do they carry over to next year or do I need to use them by December 31st?
Brandon Lewis,brandon.l@company.com,Jury Duty Leave,Leave,Medium,Resolved,2/13/26 10:20,2/17/26 17:00,I've been summoned for jury duty next month. Is this paid time off or do I need to use PTO?
Nicole Walker,nicole.w@company.com,FMLA Eligibility,Leave,High,Pending,2/19/26 9:00,2/21/26 17:00,I need to care for my father who is having major surgery. Am I eligible for FMLA and how do I apply?
Steven Young,steven.y@company.com,Vacation Blackout Dates,Leave,Low,Resolved,2/11/26 15:50,2/15/26 17:00,Are there blackout dates when we can't take vacation? I'm planning a trip in July.
Michelle Hall,michelle.h@company.com,Unpaid Leave Request,Leave,Medium,Pending,2/18/26 13:45,2/22/26 17:00,I'd like to take 2 weeks unpaid leave in June to visit family overseas. What's the approval process?
Ryan Allen,ryan.a@company.com,Holiday Schedule 2026,Leave,Low,Pending,2/14/26 11:10,2/26/26 17:00,Can someone send me the official holiday schedule for 2026? I need to plan my vacation days around them.
Thomas King,thomas.k@company.com,Missing Paycheck Deposit,Payroll,High,Pending,2/20/26 7:30,2/20/26 17:00,My paycheck was supposed to be deposited today but I don't see it in my account. Can you please check on this urgently?
Karen Wright,karen.w@company.com,Tax Withholding Update,Payroll,Medium,Pending,2/19/26 12:15,2/23/26 17:00,I need to update my W-4 to claim an additional dependent. Where do I submit the updated form?
Eric Scott,eric.s@company.com,Year-End W-2 Question,Payroll,Medium,Resolved,2/12/26 14:00,2/16/26 17:00,I never received my W-2 for 2025. Can you send me a copy? I need it for my tax filing.
Patricia Green,patricia.g@company.com,Direct Deposit Change,Payroll,High,Pending,2/18/26 10:30,2/21/26 17:00,I switched banks and need to update my direct deposit information. How quickly can this be processed?
Jason Adams,jason.a@company.com,Overtime Pay Discrepancy,Payroll,High,Pending,2/19/26 8:45,2/20/26 17:00,I worked 12 hours of overtime last pay period but it's not reflected in my paycheck. Can you investigate?
Laura Baker,laura.b@company.com,Bonus Payment Timeline,Payroll,Low,Pending,2/17/26 15:20,2/25/26 17:00,When will the annual performance bonuses be distributed? I was told they'd be paid in February.
Mark Nelson,mark.n@company.com,Expense Reimbursement,Payroll,Medium,Resolved,2/13/26 11:00,2/17/26 17:00,I submitted travel expenses 3 weeks ago. When can I expect reimbursement?
Angela Carter,angela.c@company.com,Pay Stub Access Issue,Payroll,Low,Pending,2/16/26 13:30,2/22/26 17:00,I can't access my pay stubs in the employee portal. It keeps giving me an error message.
Brian Mitchell,brian.m@company.com,Commission Structure Question,Payroll,Medium,Pending,2/18/26 16:00,2/22/26 17:00,My commission for January seems lower than expected. Can someone review my sales numbers and commission calculation?
Stephanie Roberts,stephanie.r@company.com,Final Paycheck After Termination,Payroll,High,Resolved,2/10/26 9:15,2/14/26 17:00,I was terminated last week. When will I receive my final paycheck including unused PTO?
