Employee Name,Email,Subject,Category,Priority,Status,Date Received,Response Due,Message
Sarah Johnson,sarah.j@company.com,Health Insurance Enrollment Question,Benefits,High,Pending,2026-02-18 09:15:00,2026-02-21 17:00:00,I'm trying to enroll in the PPO plan but the portal shows an error. Can someone help me complete my enrollment before the deadline?
Michael Chen,michael.c@company.com,FSA Contribution Limit,Benefits,Medium,Pending,2026-02-19 14:30:00,2026-02-22 17:00:00,What is the maximum FSA contribution for 2026? I want to increase my contribution but want to make sure I don't exceed the limit.
Jennifer Davis,jennifer.d@company.com,Dental Coverage for Dependents,Benefits,Low,Resolved,2026-02-15 11:20:00,2026-02-19 17:00:00,Does our dental plan cover orthodontics for children? My daughter needs braces.
Robert Martinez,robert.m@company.com,Vision Insurance Question,Benefits,Medium,Pending,2026-02-17 16:45:00,2026-02-20 17:00:00,I need new glasses. Does the vision plan cover progressive lenses or just basic frames?
Lisa Anderson,lisa.a@company.com,401k Match Clarification,Benefits,High,Pending,2026-02-20 08:00:00,2026-02-21 17:00:00,I recently increased my 401k contribution to 8%. Can you confirm the company match percentage and when it's deposited?
David Thompson,david.t@company.com,Life Insurance Beneficiary Update,Benefits,Low,Resolved,2026-02-12 13:10:00,2026-02-16 17:00:00,I got married last month and need to update my life insurance beneficiary. What's the process?
Amanda Wilson,amanda.w@company.com,HSA Rollover Question,Benefits,Medium,Pending,2026-02-19 10:05:00,2026-02-23 17:00:00,I have funds left in my HSA from last year. Do they roll over or do I need to use them by a certain date?
James Brown,james.b@company.com,Disability Insurance Coverage,Benefits,Medium,Resolved,2026-02-14 15:30:00,2026-02-18 17:00:00,What percentage of salary does our short-term disability insurance cover? I'm planning surgery next month.
Emily Garcia,emily.g@company.com,Dependent Care FSA,Benefits,High,Pending,2026-02-18 12:00:00,2026-02-21 17:00:00,How do I set up a dependent care FSA for my childcare expenses? The enrollment period is ending soon.
Christopher Lee,chris.l@company.com,COBRA Benefits After Resignation,Benefits,Low,Pending,2026-02-16 09:45:00,2026-02-24 17:00:00,I'm planning to resign next month. Can you explain how COBRA continuation works and what it costs?
